index_latest,countryiso3code,real_rate_year_latest,real_rate_latest,index_prev,real_rate_year_prev,real_rate_prev,real_rate_momentum,policy_score
482,THA,2024,3.21196576274468,483.0,2023.0,2.97300810909624,0.2389576536484399,40.33333333333333
438,SLE,2024,0.363807709381323,439.0,2023.0,-7.34105475218207,7.704862461563393,40.222222222222214
128,BGD,2024,2.77841343288586,129.0,2023.0,0.629461237622801,2.148952195263059,40.11111111111111
421,RUS,2023,3.35553421597221,,,,,39.83333333333333
264,GUY,2024,5.84626345802101,265.0,2023.0,26.1442166832254,-20.29795322520439,39.11111111111111
208,DMA,2024,3.36937431731501,209.0,2023.0,3.76764114160115,-0.39826682428614024,37.77777777777778
202,CZE,2024,0.703673275755963,203.0,2023.0,-3.1844035916356,3.888076867391563,37.44444444444445
338,MYS,2024,4.46523023999811,339.0,2023.0,7.32680719117579,-2.86157695117768,36.888888888888886
490,TTO,2024,5.40767051286333,491.0,2023.0,22.0501919920388,-16.64252147917547,36.77777777777777
307,KOR,2023,3.06189296985216,,,,,35.94444444444444
272,HUN,2024,1.68570845998702,273.0,2023.0,0.0796505025122738,1.6060579574747462,35.888888888888886
136,BLZ,2024,2.28295650520934,137.0,2023.0,1.8099744501983,0.4729820550110402,35.55555555555556
470,SUR,2024,-4.10043231419278,471.0,2023.0,-13.6811026897366,9.58067037554382,34.77777777777777
148,BWA,2024,3.39155531912815,149.0,2023.0,4.91413861191005,-1.5225832927819,34.22222222222222
466,VCT,2024,3.26226018401448,467.0,2023.0,4.12832139759897,-0.8660612135844903,33.888888888888886
418,ROU,2024,-0.0438685744593509,419.0,2023.0,-3.05841844421633,3.014549869756979,31.22222222222222
387,NGA,2023,1.23305048297745,,,,,28.166666666666664
356,MDA,2024,2.19682421522342,357.0,2023.0,2.79517865274657,-0.5983544375231502,27.44444444444444
156,BGR,2024,-1.7935504636749,157.0,2023.0,-3.28394425778422,1.4903937941093202,26.999999999999996
474,CHE,2024,1.66594698002375,475.0,2023.0,1.95038923018577,-0.28444225016201985,26.444444444444443
488,TON,2024,2.93670342832354,489.0,2023.0,7.75986514458571,-4.82316171626217,24.666666666666664
270,HKG,2024,1.82607654866705,271.0,2023.0,2.78133415791025,-0.9552576092431999,24.666666666666664
161,BDI,2023,0.320240045269942,,,,,24.277777777777775
132,BLR,2024,1.12514415571695,133.0,2023.0,1.77288530685339,-0.6477411511364402,23.22222222222222
230,FJI,2024,0.396671502106195,231.0,2023.0,0.836818946839108,-0.44014744473291295,22.666666666666664
117,ABW,2023,-0.852277920562397,,,,,21.944444444444443
429,STP,2023,-3.18387310793616,,,,,20.38888888888889
531,ZWE,2023,-73.5404302655762,,,,,16.5
267,HTI,2023,-13.1530212622855,,,,,16.5
110,ATG,2024,0.194074975349491,111.0,2023.0,1.71819620277611,-1.524121227426619,16.0
214,EGY,2024,-7.03099093860041,215.0,2023.0,-5.64166240231384,-1.3893285362865697,10.0
108,AGO,2024,-4.6631221155489,109.0,2023.0,-0.577616516625203,-4.085505598923697,9.0
112,ARG,2024,-47.4845124119095,113.0,2023.0,-16.7714229083122,-30.7130895035973,3.3333333333333335
454,SSD,2024,-58.6317740427716,455.0,2023.0,-20.4646907525632,-38.1670832902084,3.3333333333333335
