index_latest,countryiso3code,growth_year_latest,growth_latest,index_prev,growth_year_prev,growth_prev,growth_momentum,growth_score
54,LMY,2024,4.33346498155976,55.0,2023.0,4.81773759371491,-0.4842726121551504,60.57142857142857
434,SRB,2024,3.87801279597191,435.0,2023.0,3.84747112784942,0.03054166812249015,60.36734693877551
160,BDI,2024,3.48923174838968,161.0,2023.0,2.66553960418187,0.82369214420781,60.326530612244895
300,KEN,2024,4.49649828461209,301.0,2023.0,5.55587301319866,-1.0593747285865698,60.04081632653061
92,TSS,2024,3.42843759456181,93.0,2023.0,2.57466153784,0.8537760567218102,59.95918367346938
36,IBT,2024,4.30675413686576,37.0,2023.0,4.68591120713855,-0.37915707027278955,59.91836734693878
512,URY,2024,3.10825478066172,513.0,2023.0,0.742128785315927,2.3661259953457927,59.795918367346935
88,SSF,2024,3.4284375945618,89.0,2023.0,2.57466153784003,0.8537760567217698,59.55102040816326
34,IBD,2024,4.31382038736446,35.0,2023.0,4.82049142032486,-0.5066710329603996,59.469387755102034
166,CMR,2024,3.67074284680984,167.0,2023.0,3.24834497823876,0.4223978685710801,59.428571428571416
506,ARE,2024,3.76161544553149,507.0,2023.0,3.61870653118159,0.14290891434990005,59.22448979591836
238,GAB,2024,3.38390760783467,239.0,2023.0,2.44588083096593,0.9380267768687398,59.14285714285714
190,CRI,2024,4.32122429647224,191.0,2023.0,5.11192183229137,-0.7906975358191302,58.775510204081634
200,CYP,2024,3.4480617042135,201.0,2023.0,2.76390975419605,0.68415195001745,58.65306122448979
410,POL,2024,2.9233880806669,411.0,2023.0,0.249610834017872,2.6737772466490277,58.53061224489796
360,MNG,2024,4.86400143355705,361.0,2023.0,7.4221127615025,-2.5581113279454506,58.44897959183673
132,BLR,2024,4.00984852465452,133.0,2023.0,4.12654007153881,-0.11669154688429018,58.12244897959184
346,MHL,2024,2.77096802231969,347.0,2023.0,-3.93487109905021,6.7058391213699,57.836734693877546
501,TUV,2023,3.85280919517032,,,,,57.79591836734694
404,PRY,2024,4.24996010464042,405.0,2023.0,4.99922791130152,-0.7492678066611003,57.46938775510204
386,NGA,2024,3.42643947135149,387.0,2023.0,2.86021499108364,0.56622448026785,57.06122448979591
106,AND,2024,3.37182032638998,107.0,2023.0,2.58355480961319,0.7882655167767898,56.73469387755101
450,SOM,2024,3.97232080866033,451.0,2023.0,4.21638432610854,-0.24406351744820975,56.16326530612244
258,GTM,2024,3.65186462898195,259.0,2023.0,3.53315670086947,0.11870792811247988,56.12244897959184
177,CHI,2023,3.71500590367266,,,,,56.08163265306122
90,SSA,2024,3.19564992818877,91.0,2023.0,2.34397090114797,0.8516790270407997,56.0
328,LTU,2024,2.77263124530285,329.0,2023.0,0.342262716277261,2.430368529025589,55.91836734693878
12,EAS,2024,3.89459315089529,13.0,2023.0,4.1939549505956,-0.2993617997003102,54.816326530612244
184,COM,2024,3.3887835062684,185.0,2023.0,3.06466236855576,0.3241211377126403,54.53061224489795
80,PRE,2024,3.09973287185412,81.0,2023.0,2.28536883876953,0.81436403308459,54.36734693877551
128,BGD,2024,4.22325911250161,129.0,2023.0,5.77511237007889,-1.5518532575772799,54.12244897959183
124,BHS,2024,3.37850660746146,125.0,2023.0,3.0487749628502,0.32973164461126014,54.08163265306122
416,QAT,2024,2.76841433597697,417.0,2023.0,1.18715991623776,1.5812544197392102,53.755102040816325
178,CHL,2024,2.64431154871538,179.0,2023.0,0.521367977246825,2.122943571468555,53.673469387755105
150,BRA,2024,3.39586645454844,151.0,2023.0,3.24165532906981,0.15421112547863025,53.3469387755102
466,VCT,2024,4.06183490050209,467.0,2023.0,5.32636472098717,-1.2645298204850803,52.81632653061224
130,BRB,2024,3.80000031896743,131.0,2023.0,4.09382010970572,-0.29381979073829,52.65306122448979
456,ESP,2024,3.15019564517223,457.0,2023.0,2.6756634629066,0.4745321822656301,52.48979591836734
76,PSS,2024,4.00145098516238,77.0,2023.0,5.05453814756179,-1.05308716239941,52.448979591836725
156,BGR,2024,2.81082775188881,157.0,2023.0,1.88681483907177,0.92401291281704,52.326530612244895
528,ZMB,2024,4.0431482994443,529.0,2023.0,5.36794285493059,-1.3247945554862897,52.16326530612244
24,TEC,2024,3.67307586178063,25.0,2023.0,3.84175701063837,-0.16868114885774022,51.63265306122449
268,HND,2024,3.55397003296669,269.0,2023.0,3.57584760454412,-0.0218775715774302,51.469387755102034
320,LSO,2024,2.76223818532688,321.0,2023.0,1.82662525852363,0.93561292680325,50.73469387755102
0,AFE,2024,2.76680373044995,1.0,2023.0,1.89130738721937,0.8754963432305802,50.65306122448979
438,SLE,2024,4.00000002570113,439.0,2023.0,5.7100218981806,-1.7100218724794702,50.20408163265306
370,NAM,2024,3.71154497416239,371.0,2023.0,4.44280603819576,-0.7312610640333705,49.42857142857143
74,OSS,2024,2.9351387274728,75.0,2023.0,2.68442243093109,0.25071629654171,48.775510204081634
174,TCD,2024,3.65445110463405,175.0,2023.0,4.11745179201004,-0.46300068737598954,48.6938775510204
392,NOR,2024,2.10045327837291,393.0,2023.0,0.0721204806030329,2.028332797769877,48.40816326530612
388,MKD,2024,2.75624917338976,389.0,2023.0,2.07254208845117,0.68370708493859,48.244897959183675
442,SXM,2024,3.49999999999999,443.0,2023.0,3.8,-0.30000000000001004,47.999999999999986
470,SUR,2024,2.83958602846054,471.0,2023.0,2.53956675446825,0.30001927399229,47.836734693877546
254,GRD,2024,3.69305932786197,255.0,2023.0,4.67976181593586,-0.9867024880738904,47.55102040816326
22,ECA,2024,3.75193909583378,23.0,2023.0,5.07584002798598,-1.3239009321522,47.42857142857143
188,COG,2024,2.57966639535138,189.0,2023.0,1.90686426346754,0.6728021318838402,46.69387755102041
382,NIC,2024,3.5878302292345,383.0,2023.0,4.42774384760374,-0.8399136183692395,46.28571428571428
237,PYF,2023,2.99692707779566,,,,,45.51020408163265
364,MAR,2024,3.23651373521014,365.0,2023.0,3.40334130078834,-0.16682756557820033,45.46938775510204
10,EAR,2024,3.58246104129047,11.0,2023.0,4.61090087002265,-1.0284398287321803,45.142857142857146
482,THA,2024,2.52596175771495,483.0,2023.0,2.01775095328327,0.50821080443168,44.85714285714285
230,FJI,2024,3.82899888724594,231.0,2023.0,7.5242913513424,-3.69529246409646,44.28571428571428
8,CEB,2024,1.96330552382373,9.0,2023.0,0.763278131880284,1.200027391943446,44.08163265306122
